STATS,Autoc,contr,corrm,corrp,cprom,cshad,dissi,energ,entro,homom,homop,maxpr,sosvh,savgh,svarh,senth,dvarh,denth, inf1h, inf2h,indnc,idmnc
Sample(8)16,25.344,0.26854,0.97447,0.97447,758.45,0.3349,0.18295,0.091199,2.6611,0.91909,0.91646,0.11616,25.34,8.993,63.438,2.4608,0.26854,0.5059,-0.72021,0.97466,0.98052,0.99613
Sample(8)17,25.496,0.31861,0.96946,0.96946,748.88,-0.72895,0.2221,0.084757,2.7437,0.90072,0.89779,0.11778,25.511,9.0418,63.203,2.5107,0.31861,0.57338,-0.6804,0.97003,0.97627,0.9954
Sample(8)18,25.304,0.30731,0.971,0.971,765.38,0.14138,0.20173,0.088588,2.702,0.91172,0.90876,0.11635,25.317,8.9799,63.096,2.4828,0.30731,0.53875,-0.7004,0.97245,0.97861,0.99562
Sample(8)19,25.321,0.32849,0.96907,0.96907,767.54,-0.47015,0.22351,0.085013,2.7485,0.90101,0.89791,0.11771,25.348,8.9834,62.805,2.5109,0.32849,0.57589,-0.6779,0.96969,0.9762,0.99527
Sample(8)20,25.33,0.24246,0.97689,0.97689,759.86,0.48206,0.16949,0.092956,2.6309,0.92417,0.92198,0.11736,25.304,8.9901,63.524,2.4492,0.24246,0.48015,-0.73472,0.97617,0.98189,0.9965
Sample(8)21,25.341,0.25717,0.97535,0.97535,746.88,1.2585,0.17888,0.091655,2.6529,0.92036,0.91788,0.1163,25.326,9.0006,63.403,2.4589,0.25717,0.49841,-0.72362,0.97499,0.9809,0.99627
Sample(8)22,25.265,0.35036,0.96651,0.96651,748.67,1.3135,0.23234,0.083931,2.7632,0.89798,0.89456,0.11635,25.286,8.9909,62.528,2.5137,0.35036,0.59097,-0.67103,0.96882,0.97534,0.99499
Sample(8)23,25.27,0.26897,0.97453,0.97453,764.75,0.76286,0.19599,0.0883,2.6935,0.91123,0.90882,0.1187,25.265,8.9719,62.886,2.4887,0.26897,0.52902,-0.70442,0.97291,0.97895,0.99607
Sample(8)24,25.3,0.31396,0.9702,0.9702,756.8,0.9582,0.20916,0.087327,2.7176,0.90817,0.90505,0.11455,25.311,8.9863,62.964,2.4899,0.31396,0.55251,-0.69306,0.97159,0.97779,0.9955
Sample(8)25,25.339,0.36308,0.96514,0.96514,742.78,0.98572,0.23503,0.083868,2.7669,0.89756,0.89404,0.11626,25.386,9.0139,62.727,2.5131,0.36308,0.5949,-0.6691,0.96855,0.97513,0.99485
Sample(8)26,25.369,0.31176,0.97028,0.97028,753.73,0.35791,0.21791,0.085258,2.7368,0.90236,0.89963,0.11562,25.393,9.0065,62.869,2.5104,0.31176,0.56526,-0.68359,0.97042,0.97671,0.9955
Sample(8)27,25.387,0.25977,0.97516,0.97516,754.74,0.53663,0.1763,0.092166,2.6445,0.92185,0.91946,0.11736,25.369,9.0084,63.61,2.4543,0.25977,0.49256,-0.72813,0.97549,0.98123,0.99627
Sample(8)28,25.228,0.31892,0.96981,0.96981,761.51,0.7767,0.21195,0.087071,2.7228,0.90704,0.9039,0.11572,25.252,8.9676,62.73,2.4931,0.31892,0.55696,-0.69028,0.97124,0.9775,0.99543
Sample(8)29,25.374,0.31239,0.97036,0.97036,762.12,-0.54809,0.21639,0.08577,2.7344,0.90352,0.90061,0.11734,25.392,9.0023,62.976,2.5056,0.31239,0.56419,-0.68465,0.97055,0.9769,0.9955
Sample(8)30,25.403,0.26164,0.97503,0.97503,758.98,-0.087442,0.18254,0.090979,2.6602,0.91851,0.91608,0.11663,25.396,9.01,63.52,2.4657,0.26164,0.50472,-0.72036,0.97466,0.9805,0.99621
Sample(8)31,25.31,0.26354,0.97514,0.97514,770.63,0.27478,0.18138,0.091469,2.6562,0.9194,0.91691,0.11907,25.307,8.9757,63.391,2.4602,0.26354,0.50269,-0.72249,0.9749,0.98066,0.9962
Sample(8)32,25.374,0.2085,0.98025,0.98025,767.63,0.15126,0.14668,0.096988,2.5734,0.93438,0.93241,0.11936,25.329,8.9886,64.15,2.4128,0.2085,0.43564,-0.76239,0.97878,0.98432,0.99698
Sample(8)33,25.351,0.24466,0.97681,0.97681,765.63,0.33418,0.18323,0.090159,2.6659,0.91634,0.9142,0.11931,25.336,8.9887,63.265,2.4763,0.24466,0.50614,-0.71736,0.97432,0.98026,0.9964
Sample(8)34,25.307,0.3596,0.96593,0.96593,760.46,0.12831,0.22824,0.08538,2.7529,0.90133,0.89775,0.11587,25.335,8.9909,62.845,2.5029,0.3596,0.58407,-0.67562,0.96939,0.97591,0.99491
